Date,Open,High,Low,Close,Volume,HL,OC,HO,OL
2024-12-20,133.6700,138.6800,125.2300,129.4600,13404962,10.062093214633054,-3.1495473928330813,3.748036208573367,-6.314057006059688
2024-12-13,139.5400,144.9400,134.7500,136.7100,6297631,7.30256557259567,-2.0280923032822016,3.8698581052028134,-3.4327074673928566
2024-12-06,142.2500,143.5500,136.7200,138.9400,4684838,4.801405975395439,-2.3268892794376113,0.9138840070298849,-3.8875219683655544
2024-11-29,139.5400,147.4500,138.7400,142.6800,5505723,6.241937795614146,2.250250824136459,5.668625483732261,-0.5733123118818855
2024-11-22,156.1000,156.4200,141.0900,143.6300,7962635,9.820627802690574,-7.988468930172966,0.2049967969250437,-9.615631005765529
2024-11-15,166.6400,171.0000,153.0200,155.3400,6326674,10.78972635621699,-6.781084973595765,2.6164186269803253,-8.173307729236665
2024-11-08,156.1400,169.7669,153.2800,165.2100,7752597,10.559049570897908,5.808889458178572,8.727360061483289,-1.8316895094146186
2024-11-01,140.6000,162.9425,139.0700,156.1300,9265492,16.979018492176387,11.04551920341394,15.890825035561878,-1.0881934566145102
2024-10-25,163.0300,163.1900,137.0801,139.7700,6896348,16.015395939397663,-14.267312764521861,0.09814144635956364,-15.9172544930381
2024-10-18,155.8600,166.0000,154.4150,163.8700,4403189,7.432952649813941,5.1392275118696205,6.505838573078394,-0.9271140767355457
2024-10-11,156.0000,156.3950,147.1200,155.8200,5897980,5.945512820512824,-0.11538461538461976,0.25320512820513474,-5.692307692307689
2024-10-04,163.9100,166.3300,155.4087,156.5700,4885258,6.662985784881948,-4.4780672320175725,1.4764199865780099,-5.186565798303939
2024-09-27,166.2500,171.2000,157.8400,163.2200,4206620,8.036090225563902,-1.8225563909774443,2.9774436090225493,-5.058646616541352
2024-09-20,162.7000,167.2900,154.3920,165.1600,7592272,7.927473878303625,1.5119852489244057,2.821143208358945,-5.106330669944679
2024-09-13,154.4400,162.9000,151.5800,162.4100,5085882,7.329707329707325,5.16058016058016,5.477855477855483,-1.8518518518518423
2024-09-06,165.2800,166.8900,150.1200,153.4000,5794698,10.146418199419156,-7.187802516940946,0.9741045498547829,-9.172313649564373
2024-08-30,164.5700,166.0800,161.9100,165.8400,2889235,2.5338761621194728,0.7717080877438235,0.9175426870025031,-1.6163334751169696
2024-08-23,156.0900,165.5800,154.2301,164.5300,3914841,7.271381895060555,5.407136908193989,6.079825741559363,-1.1915561535011918
2024-08-16,149.6800,157.6000,147.5200,156.6600,4423502,6.734366648850871,4.663281667557449,5.29128808123997,-1.4430785676109008
2024-08-09,135.9300,151.3950,133.7100,150.0600,6648462,13.010372986095785,10.395056278967111,11.377179430589276,-1.6331935555065098
2024-08-02,153.1000,155.0000,140.1000,141.7500,7872536,9.732201175702158,-7.413455258001304,1.241018941868064,-8.491182233834095
2024-07-26,134.1600,152.3734,132.1100,151.6300,10847304,15.103905784138336,13.021765056648778,13.575879546809784,-1.5280262373285503
2024-07-19,132.3900,136.8599,130.7700,133.2700,5137807,4.599969786237632,0.6647027721127154,3.3763124103029116,-1.2236573759347205
2024-07-12,132.6700,136.0050,128.4900,134.3900,5007227,5.664430541946173,1.2964498379437694,2.513755935780514,-3.150674606165658
2024-07-05,134.0800,137.1900,130.9600,131.8000,3852561,4.646479713603811,-1.7004773269689744,2.3195107398567907,-2.32696897374702
2024-06-28,134.3700,139.9900,130.7500,133.0300,7479590,6.876534940835015,-0.9972464091687158,4.1824812086031145,-2.6940537322319003
2024-06-21,137.4200,138.8100,133.8500,134.2500,5088583,3.6093727259496498,-2.306796681705711,1.0114975986028343,-2.597875127346815
2024-06-14,132.2400,142.3550,132.0100,138.0100,6137530,7.822897761645493,4.363278886872339,7.6489715668481395,-0.1739261947973519
2024-06-07,134.7800,136.8000,131.7100,133.7300,6393823,3.776524706929814,-0.7790473364000677,1.4987386852648836,-2.27778602166493
2024-05-31,130.0800,135.7500,129.2500,135.2200,4366798,4.996924969249692,3.9514145141451307,4.358856088560875,-0.6380688806888164
2024-05-24,129.4800,131.8700,127.8500,131.1300,4541572,3.1047265987025106,1.2743280815570017,1.8458449181340864,-1.2588816805684242
2024-05-17,126.1400,133.1700,123.4700,128.4700,7171333,7.689868400190256,1.84715395592199,5.573172665292521,-2.116695734897734
2024-05-10,121.7300,128.6800,119.3700,127.1300,6631517,7.648073605520415,4.436046989238471,5.709356773186562,-1.938716832333853
2024-05-03,96.4800,121.7200,96.1400,120.2800,12083619,26.513266998341624,24.668325041459365,26.1608623548922,-0.35240464344942307
2024-04-26,94.1900,99.7900,92.0100,96.1300,5731591,8.25990020171993,2.0596666312772034,5.94542945110947,-2.3144707506104605
2024-04-19,101.8900,102.4000,90.0300,93.1900,6528810,12.14054372362352,-8.53862008047895,0.5005397978211847,-11.640003925802336
2024-04-12,102.3700,103.7000,99.6900,100.4400,3607657,3.9171632314154587,-1.8853179642473448,1.2992087525642262,-2.6179544788512326
2024-04-05,104.8600,104.9400,100.2100,102.1800,4074737,4.510776273126076,-2.555788670608423,0.07629219912263809,-4.434484074003438
2024-03-28,102.1500,107.8000,102.0900,105.1100,3423626,5.589818893783645,2.8976994615761074,5.531081742535478,-0.05873715124816669
