Date,Open,High,Low,Close,Volume,HL,OC
2024-10-15,428.4500,428.4800,408.1700,418.7400,187195454,4.740343097210877,-2.266308787489784
2024-09-30,417.9100,441.8500,400.8000,430.3000,376719438,9.822689095738319,2.964753176521257
2024-08-30,420.7850,427.4600,385.5800,417.1400,451919023,9.952826265194814,-0.8662381025939704
2024-07-31,448.6600,468.3500,412.2100,418.3500,440446499,12.512815940801508,-6.755672446841706
2024-06-28,415.5250,456.1700,408.9234,446.9500,342370406,11.370338728115035,7.562721857890623
2024-05-31,392.6100,433.6000,390.3100,415.1300,413810421,11.02620921525178,5.735972084256637
2024-04-30,423.9500,429.3700,388.0300,389.3300,440119511,9.751149899752338,-8.166057318079963
2024-03-28,411.2700,430.8200,398.3900,420.7200,425101681,7.885330804580935,2.2977605952294224
2024-02-29,401.8300,420.8200,397.2200,413.6400,444203455,5.873130428290562,2.939053828733545
2024-01-31,373.8600,415.3200,366.5000,397.5800,525975837,13.058364093510937,6.344620981115918
2023-12-29,376.7600,378.1600,362.9000,376.0400,521914675,4.050323813568332,-0.19110308949993907
2023-11-30,339.7900,384.3000,339.6500,378.9100,564165364,13.140469113275858,11.512993319403162
2023-10-31,316.2800,346.2000,311.2150,338.1100,540963749,11.061401289996212,6.902112052611623
2023-09-29,331.3100,340.8600,309.4500,315.7500,416768824,9.480546919803214,-4.696507802360328
2023-08-31,335.1900,338.5400,311.5508,327.7600,479669427,8.051910856529144,-2.2166532414451527
2023-07-31,339.1900,366.7800,327.0000,335.9200,666956355,11.727940092573476,-0.9640614404905752
2023-06-30,325.9300,351.4700,322.5000,340.5400,547748450,8.888411622127459,4.482557604393586
2023-05-31,306.9700,335.9400,303.4000,328.3900,600453246,10.600384402384602,6.9778805746489745
2023-04-28,286.5200,308.9300,275.3700,307.2600,551356990,11.712969426218066,7.2385871841407265
2023-03-31,250.7600,289.2700,245.6100,288.3000,747751976,17.411070346147696,14.970489711277724
2023-02-28,248.0000,276.7600,245.4700,249.4200,615540778,12.616935483870964,0.5725806451612853
2023-01-31,243.0800,249.8300,219.3500,247.8100,666168068,12.539081783774895,1.9458614447918339
2022-12-30,253.8700,263.9150,233.8700,239.8200,591366468,11.834797337219843,-5.534328593374566
2022-11-30,234.6000,255.3300,213.4310,255.1400,615328220,17.859761295822675,8.755328218243816
2022-10-31,235.4100,251.0400,219.1300,232.1300,671366804,13.555074125992947,-1.3933137929569692
2022-09-30,258.8700,267.4500,232.7300,232.9000,575416752,13.412137366245606,-10.032062425155484
2022-08-31,277.8200,294.1800,260.6600,261.4700,476959033,12.065366064358212,-5.885105463969465
2022-07-29,256.3900,282.0000,245.9400,280.7400,534986150,14.064511096376615,9.497250282772349
2022-06-30,275.1950,277.6900,241.5100,256.8300,621501474,13.147041188975095,-6.673449735642003
2022-05-31,277.7100,290.8800,246.4400,271.8700,742766114,16.002304562313206,-2.102913110799026
2022-04-29,309.3700,315.1100,270.0000,277.5200,622644983,14.581245757507197,-10.295115880660704
