Date,Open,High,Low,Close,Volume,HL,OC
2023-04-06,183.8500,188.8600,183.3200,186.4900,41061251,0.03013326081044341,0.014359532227359341
2023-03-31,181.1500,184.4401,180.6900,183.2200,32487766,0.020701628484681222,0.011426994203698554
2023-03-24,184.1900,186.2400,179.9000,183.6500,55149956,0.03442097833758621,0.5399858841413758
2023-03-17,176.6600,184.8100,176.2100,183.7700,80040682,0.04868108230499261,0.040246801766104456
2023-03-10,172.3200,173.8800,168.5200,173.8700,38082404,0.03110492107706584,0.008994893221912787
2023-03-03,168.8800,172.5950,168.5500,172.4900,28707936,0.023951918522027403,0.021376125059213723
2023-02-24,171.2000,171.5000,168.1900,168.3500,19711583,0.019334112149532724,0.5674649532710281
2023-02-17,172.7000,173.5100,169.5200,171.2600,24159419,0.023103647944412165,0.5707006369426753
2023-02-10,174.1100,175.5200,172.6300,173.3600,28159219,0.016598701970019038,0.5700419275170868
2023-02-03,179.2860,181.7300,173.1200,173.4600,40700456,0.04802382785047346,0.5252724696853073
2023-01-27,178.3500,181.2200,177.7800,179.2200,28708340,0.019287917017101194,0.004878048780487831
2023-01-20,178.2100,180.0300,176.9000,179.2900,24429003,0.017563548622411735,0.006060265978340071
2023-01-13,174.5100,178.8250,173.7200,178.7600,27312802,0.029253337917597787,0.024353905220331214
2023-01-06,171.3200,173.9600,169.7900,173.7100,28149124,0.02434041559654457,0.013950501984590327
2022-12-30,167.8900,170.6100,167.1000,169.6400,16758500,0.020906545952707245,0.01042349157186253
2022-12-23,166.7100,169.7100,165.9900,167.2600,24318659,0.0223141983084398,0.003299142223021912
2022-12-16,166.4380,169.7900,165.1000,166.7900,29640449,0.028178661123060826,0.0021149016450570414
2022-12-09,166.5500,168.0850,164.3201,167.0600,22293776,0.022605223656559658,0.0030621435004502605
2022-12-02,162.9300,167.9500,161.9100,167.2600,25361022,0.03707113484318414,0.026575830111090555
2022-11-25,162.4400,163.4300,161.2800,163.2200,13573862,0.013235656242304886,0.004801772962324558
2022-11-18,164.2000,166.2300,162.6800,162.7900,28636096,0.021619975639463967,0.6004263093788064
2022-11-11,156.2200,164.5800,155.8100,164.5600,36328252,0.0561387786455,0.05338625016003075
2022-11-04,152.1600,156.6000,150.5703,156.4700,30992524,0.03962736593059931,0.028325446898002118
2022-10-28,153.4500,155.7300,152.5000,153.1600,20858694,0.021049201694362918,0.6497882046269144
2022-10-21,154.9200,155.3300,151.2700,154.1500,29051745,0.02620707461915829,0.6405241414923833
2022-10-14,155.9400,156.8100,152.7200,152.9800,27974354,0.026228036424265765,0.6222906245992048
2022-10-07,155.4380,161.0800,155.2300,157.8800,34425705,0.03763558460608103,0.015710444035564066
2022-09-30,153.2200,156.0450,151.0301,154.6700,37518505,0.03273006134969314,0.009463516512204598
2022-09-23,154.8700,157.2500,152.6400,153.0100,34902326,0.029766901272034695,0.6336927745851358
2022-09-16,161.0400,161.6200,154.3400,155.8400,37477416,0.04520615996025833,0.5886736214605068
2022-09-09,159.1700,160.2400,158.0800,159.8200,16902113,0.013570396431488326,0.004083684111327548
2022-09-02,161.8800,162.6200,157.3200,159.2600,27466563,0.032740301457870095,0.6015567086730912
2022-08-26,161.6600,163.9850,161.3600,161.7600,21632346,0.016237783001360882,0.0006185822095756175
2022-08-19,165.9900,166.2500,162.6150,162.7200,26915933,0.02189890957286578,0.5827459485511175
2022-08-12,166.0300,167.9800,165.9300,167.8700,20337723,0.012347166174787587,0.011082334517858238
2022-08-05,164.9800,167.3100,163.4750,165.2900,26335350,0.023245241847496715,0.0018790156382591967
2022-07-29,160.6400,164.6900,159.5100,164.1000,25238874,0.03224601593625503,0.021538844621513994
2022-07-22,160.0800,162.1300,158.0250,160.6700,25980909,0.025643428285857004,0.0036856571714141365
2022-07-15,161.9300,162.7050,158.2200,159.0100,37150779,0.027697153090841805,0.5995183103810288
2022-07-08,167.1800,167.3300,161.4700,162.3000,35069100,0.03505203971766966,0.5689675798540496
2022-07-01,170.5950,170.7000,166.9600,168.3200,34014433,0.021923268560039746,0.5728479732700255
2022-06-24,171.0600,172.3000,169.8500,170.0900,24845483,0.014322459955571245,0.5789196773062083
2022-06-17,171.1800,172.7700,168.3000,171.2700,45844253,0.02611286365229582,0.0005257623554153722
2022-06-10,172.8100,174.9400,170.4600,174.5400,34324174,0.025924425669810715,0.010010994734100977
2022-06-03,172.7100,174.4500,171.0800,172.5800,24333019,0.01951247756354569,0.5782525620983151
2022-05-27,173.1300,174.4100,171.7300,172.8500,27223264,0.015479697337261058,0.5759833651013689
2022-05-20,168.4300,172.5197,168.3400,172.0300,38391560,0.024815650418571495,0.02137386451344769
2022-05-13,174.2700,174.2700,168.0100,168.7900,55590298,0.03592127159006151,0.5423767716761346
2022-05-06,173.6121,177.6100,172.9800,175.4200,52436331,0.026668648095380585,0.010413444685019013
2022-04-29,177.1700,178.6150,175.5000,176.9100,44907384,0.017581983405768522,0.5629621267708981
2022-04-22,185.9500,186.1000,179.7400,180.2900,47140552,0.03420274267276142,0.5073406829792956
2022-04-14,183.1700,184.9400,181.1100,184.0400,42314692,0.02090953758803289,0.00474968608396574
2022-04-08,180.2439,181.8200,178.7000,181.4700,47587813,0.01730987844803627,0.00680244934780041
2022-04-01,180.3800,181.9600,176.6900,179.5000,51188731,0.029216099345825537,0.5495065971837233
2022-03-25,179.3300,183.5100,178.3231,182.3800,51327915,0.02892377181731991,0.01700775107343993
2022-03-18,183.0300,183.2900,176.8700,179.3000,72586277,0.035076217013604256,0.5259793476479266
2022-03-11,184.4500,193.3000,183.4400,185.0900,135419062,0.05345622119815676,0.003469775006776985
2022-03-04,178.8600,183.9800,176.5000,183.6800,94963306,0.04182041820418198,0.026948451302694805
2022-02-25,177.6700,182.6000,175.2700,176.5500,70833090,0.041256261608600124,0.5565374007992347
2022-02-18,173.7800,177.5300,172.3900,177.1200,70402988,0.029577626884566777,0.01921970307285075
2022-02-11,169.4500,174.2000,169.1900,173.8100,58036643,0.02956624372971373,0.025730303924461576
2022-02-04,167.7900,169.1200,167.0300,168.8600,47658870,0.01245604624828657,0.0063770188926635775
2022-01-28,171.7800,173.1499,166.3650,167.1000,76575260,0.039497613226219544,0.5548957969495867
2022-01-21,169.6401,172.5999,169.0900,171.0900,45361131,0.02069027311349137,0.008546917857275573
2022-01-14,167.3600,170.7500,167.3100,169.6700,36520443,0.020554493307839372,0.01380258126195013
2022-01-07,168.8600,170.9300,166.8600,167.7500,43790203,0.02410280705910217,0.5856330688144024
2021-12-31,168.9600,171.0400,167.2800,170.9600,27536037,0.022253787878787824,0.011837121212121212
2021-12-23,167.8800,169.1600,166.7400,168.9700,20745528,0.014415058375029708,0.006492732904455584
2021-12-17,166.9000,169.1250,163.8000,167.8000,50533725,0.0319053325344517,0.00539245056920315
2021-12-10,166.1400,167.0800,165.6500,166.5800,25367657,0.00860719874804386,0.0026483688455521018
2021-12-03,166.8400,169.0100,164.6300,166.6300,47257750,0.026252697194917258,0.5981179573243826
2021-11-26,169.9000,170.4400,166.3200,166.8500,36118530,0.024249558563861122,0.5706297822248381
2021-11-19,174.1000,174.6050,172.2350,172.6100,35861890,0.01361286616886833,0.5658242389431363
2021-11-12,170.4300,174.6700,170.0600,174.4500,35711911,0.027049228422226047,0.02358739658510815
2021-11-05,167.3800,169.9400,164.3800,169.8400,33647972,0.033217827697454905,0.014697096427291242
2021-10-29,168.6600,169.2500,165.6400,166.6500,31895905,0.021404008063559906,0.580991343531365
2021-10-22,165.4200,169.5400,164.8100,167.7700,30756419,0.028593882239148775,0.014206262846088882
2021-10-15,164.0400,168.2200,163.9100,165.3300,34174497,0.02627407949280665,0.00786393562545733
2021-10-08,163.6900,166.4200,163.4700,164.2300,32663711,0.018021870609078065,0.0032989186877634066
2021-10-01,163.8500,164.9600,160.9700,164.5900,39815910,0.02435154104363753,0.004516325907842594
2021-09-24,164.2900,167.1500,162.7400,163.3000,39915249,0.02684277801448656,0.6026538438127702
2021-09-17,167.4500,169.1600,163.2330,163.7700,39172201,0.03539564048969838,0.5752164825320993
2021-09-10,169.5600,169.7800,166.7000,167.1800,30651383,0.01816466147676346,0.575725406935598
2021-09-03,169.6600,171.5500,168.7500,171.0600,27824270,0.01650359542614648,0.00825179771307324
2021-08-27,168.8200,170.1900,166.7400,170.1900,32706769,0.02043596730245225,0.008115152233147759
2021-08-20,166.7300,167.7300,166.1600,166.7000,36675335,0.009416421759731262,0.5995921549811072
2021-08-13,163.0100,166.4600,160.6800,166.3900,38410482,0.03545794736519233,0.020734924237776797
2021-08-06,169.3000,171.4000,164.5500,164.6400,47422817,0.040460720614294114,0.5631423508564676
2021-07-30,168.5800,171.5200,167.7200,169.8200,34919937,0.022541226717285628,0.007355558191956226
2021-07-23,169.5100,170.8000,167.9500,168.5600,28495072,0.016813167364757377,0.5843313078874404
2021-07-16,168.7000,171.3000,167.6400,169.4100,39166508,0.021695317131001927,0.004208654416123343
2021-07-09,169.2700,169.8550,167.5400,169.2100,27282632,0.013676375022153941,0.5904176759024043
2021-07-02,166.6800,167.7150,164.0100,167.2900,37220227,0.022228221742260693,0.0036597072234220373
2021-06-25,166.5200,168.0300,165.9700,166.5900,38446217,0.012370886380014426,0.00042036992553442934
2021-06-18,173.1600,175.0600,164.8700,164.9300,74300209,0.058847308847308835,0.52997227997228
2021-06-11,176.9600,177.9000,175.4800,175.7400,37694492,0.013675406871609492,0.5582052441229656
2021-06-04,178.7600,178.8500,174.6600,177.1600,34285519,0.02343924815394942,0.5504587155963303
2021-05-28,176.1500,178.6100,175.8700,178.3800,41000942,0.015554924780017082,0.012659665058188985
2021-05-21,173.3000,177.0000,173.2800,176.0400,57471936,0.021465666474321975,0.01581073283323705
2021-05-14,172.7400,172.8400,170.2250,172.6900,47056102,0.015138358226236014,0.5786152599282157
2021-05-07,167.6100,172.5501,165.5000,171.5900,53554819,0.04206252610226112,0.02374559990454024
2021-04-30,166.6300,167.1500,164.4700,165.6600,32398667,0.0160835383784433,0.5943107483646403
2021-04-23,165.9100,168.3900,165.6200,166.4000,35421508,0.01669579892712906,0.0029534084744741672
