Date,Open,High,Low,Close,Volume,HL,OC
2024-10-15,78.2100,82.0000,76.0400,79.5500,94865866,7.620508886331663,1.713335890551085
2024-09-30,71.7550,80.6299,67.1500,78.0300,241431657,18.786007943697303,8.745035189185431
2024-08-30,65.7800,73.9300,58.6500,72.4300,267603462,23.228944968075417,10.109455761629683
2024-07-31,58.3600,66.9900,56.9700,65.7800,270891071,17.169294037011642,12.714187799862923
2024-06-28,63.0400,68.2985,57.2100,58.0300,256821929,17.589625634517773,-7.947335025380707
2024-05-31,67.0000,67.8900,60.8500,62.9900,230522960,10.507462686567163,-5.985074626865668
2024-04-30,67.0000,70.6618,61.7250,67.9200,256829107,13.338507462686565,1.3731343283582116
2024-03-28,60.5300,68.2100,57.8700,66.9900,296885459,17.08243846026763,10.672393854287119
2024-02-29,61.5100,64.9000,55.7700,60.3400,378083210,14.84311494066006,-1.90212973500243
2024-01-31,61.2200,68.2100,56.4710,61.3500,442637718,19.175106174452786,0.21234890558641384
2023-12-29,57.6300,64.1300,57.3200,61.4100,334529244,11.816762103071309,6.559083810515347
2023-11-30,51.9100,60.2000,51.0950,57.6100,342048700,17.539973030244663,10.980543247929113
2023-10-31,58.6200,59.6400,50.2500,51.8000,311716219,16.01842374616172,-11.63425452064142
2023-09-29,63.1300,65.7300,56.5300,58.4600,264968967,14.57310312054491,-7.397433866624429
2023-08-31,76.1900,76.2800,57.2900,62.5100,424127288,24.92453077831737,-17.955112219451372
2023-07-31,67.1200,76.5400,65.6300,75.8200,266666533,16.25446960667463,12.961859356376621
2023-06-30,62.4100,69.2000,61.8300,66.7300,392720575,11.809004967152708,6.9219676333920965
2023-05-31,76.0300,76.5000,58.9500,61.9900,491517983,23.082993555175584,-18.46639484414047
2023-04-28,75.6250,77.9500,71.0300,76.0000,180697055,9.150413223140498,0.49586776859504134
2023-03-31,73.6300,79.2651,71.0856,75.9400,276029878,11.10892299334511,3.137308162433794
2023-02-28,81.3400,88.6250,72.9800,73.6000,288566059,19.234079173838204,-9.515613474305395
2023-01-31,73.6900,82.5348,73.3800,81.4900,255378258,12.423395304654647,10.584882616365855
2022-12-30,79.1100,80.7455,66.3850,71.2200,325142825,18.152572367589435,-9.973454683352294
2022-11-30,85.0000,92.6200,71.1680,78.4100,343996785,25.237647058823526,-7.752941176470593
2022-10-31,87.5300,95.5700,79.3501,83.5800,275613410,18.530675197075283,-4.512738489660691
2022-09-30,92.2520,99.3000,84.1300,86.0700,265309497,16.444087933052945,-6.701209729870358
2022-08-31,87.0500,103.0300,85.2701,93.4400,340357537,20.401952900631823,7.340608845491097
2022-07-29,69.8400,87.6200,68.5100,86.5300,263062509,27.362542955326457,23.89747995418098
2022-06-30,85.4700,89.3200,67.5800,69.8400,318447681,25.435825435825432,-18.287118287118282
2022-05-31,87.5500,92.8500,71.8312,85.2100,380152776,24.007766990291262,-2.6727584237578568
2022-04-29,116.0000,122.9180,82.1200,87.9300,371660966,35.17068965517242,-24.198275862068957
2022-03-31,112.7300,122.8100,92.2500,115.6500,433680699,27.1090215559301,2.5902599130666206
2022-02-28,172.7700,176.2000,94.5000,111.9300,671381948,47.28830236730913,-35.214446952595935
2022-01-31,191.4100,196.0998,152.0800,171.9400,285114948,22.997649025651732,-10.171882346794838
2021-12-31,187.7700,197.6900,179.1500,188.5800,276333468,9.87378175427384,0.43137881450711096
2021-11-30,232.7000,233.5500,180.5000,184.8900,434239196,22.797593467984534,-20.545767082079934
2021-10-29,261.4548,273.5100,231.7100,232.5900,250448491,15.98746704975391,-11.040072700902785
2021-09-30,290.1000,296.7000,256.8900,260.2100,118302259,13.722854188210961,-10.303343674594982
